id,price
100000,8540251.20761626
100001,4883870.713949699
100002,4172106.325755644
100003,3156137.079738269
100004,6853497.502827995
100005,5284180.416229029
100006,2161232.126702487
100007,1121532.880242662
100008,3288474.9572595763
100009,1512053.3693733418
100010,6664124.427264163
100011,5251067.2362739025
100012,8353493.756669078
100013,2339039.7338179396
100014,4277244.882251921
100015,6110793.278316553
100016,9394990.710249601
100017,4893966.341583368
100018,4537151.96616965
100019,8266697.515747049
100020,5873746.525370298
100021,4198385.099055821
100022,6786047.202101461
100023,14606169.309869783
100024,4136832.671068215
100025,3955547.701390874
100026,5000543.174457252
100027,4983098.472997311
100028,5399694.741790595
100029,3199694.986451758
100030,3130052.022527332
100031,8466393.941071697
100032,3605962.8581093326
100033,3757423.743033078
100034,4102918.629836257
100035,4655518.975499363
100036,3805344.868516944
100037,3795284.509134959
100038,7085730.527242793
100039,4379363.695853675
100040,12405103.548648162
100041,3463046.7531285677
100042,6261027.839395665
100043,4332858.184213926
100044,2365468.8858565004
100045,3860335.0651686317
100046,2616051.7085426515
100047,3830057.957116714
100048,13040709.753768196
100049,2990626.5855534347
100050,1356198.6587187597
100051,3954682.3444032115
100052,9966379.890679816
100053,7961681.163230491
100054,3391490.680550697
100055,11330701.547978094
100056,4797002.967689861
100057,3148154.3958576336
100058,8963787.313508583
100059,6412960.6791592175
100060,4876066.03394117
100061,13560584.419719735
100062,5062638.221545454
100063,3814281.983885973
100064,1989922.8480495922
100065,1614911.42560362
100066,4959401.9095076425
100067,6053760.565057802
100068,2767165.9020039137
100069,3540497.11807933
100070,10302401.852941519
100071,8692348.975346683
100072,3071292.951118595
100073,3631398.9785164087
100074,1838809.2249719275
100075,3977324.7168675433
100076,8620208.000423396
100077,2204879.213230469
100078,5203924.130880502
100079,1643199.1796883745
100080,4230821.634617029
100081,1531301.549337719
100082,7719630.0536653865
100083,7624361.19117133
100084,4664970.793883536
100085,6294491.341263596
100086,4058810.6531943297
100087,3117876.8685098025
100088,9188008.422009455
100089,3759272.6498259855
100090,5043947.637956764
100091,7976181.173944075
100092,4519278.502012058
100093,10962202.414633468
